sentence,word,ner
282-0,Bruce,B-PER
282-0,Springsteen,B-PER
282-0,meni,O
282-0,",",O
282-0,da,O
282-0,je,O
282-0,Donald,B-PER
282-0,Trump,B-PER
282-0,velika,O
282-0,sramota,O
282-0,za,O
282-0,ZDA,B-LOC
282-0,-,O
282-0,Hudo,B-ORG
282-0,Slovenija,I-ORG
282-1,Springsteen,O
282-1,",",O
282-1,ki,O
282-1,v,O
282-1,svojih,O
282-1,besedilih,O
282-1,pogosto,O
282-1,ubeseduje,O
282-1,boj,O
282-1,Američanov,B-PER
282-1,iz,O
282-1,delavskega,O
282-1,razreda,O
282-1,",",O
282-1,je,O
282-1,dejal,O
282-1,",",O
282-1,da,O
282-1,razume,O
282-1,",",O
282-1,kako,O
282-1,se,O
282-1,Trump,O
282-1,lahko,O
282-1,zdi,O
282-1,prepričljiv,O
282-1,ljudem,O
282-1,",",O
282-1,ki,O
282-1,živijo,O
282-1,na,O
282-1,ekonomskem,O
282-1,robu,O
282-1,.,O
282-1,“,O
282-1,Absurdnost,O
282-1,presega,O
282-1,risanke,O
282-1,.,O
282-2,A,O
282-2,prišel,O
282-2,je,O
282-2,dovolj,O
282-2,blizu,O
282-2,(,O
282-2,Beli,B-LOC
282-2,hiši,I-LOC
282-2,),O
282-2,",",O
282-2,da,O
282-2,vas,O
282-2,to,O
282-2,lahko,O
282-2,dela,O
282-2,nervozne,O
282-2,",",O
282-2,”,O
282-2,je,O
282-2,dejal,O
282-2,v,O
282-2,pogovorni,O
282-2,oddaji,O
282-2,Skavlan,B-MISC
282-2,",",O
282-2,ki,O
282-2,jo,O
282-2,predvajajo,O
282-2,na,O
282-2,Norveškem,B-LOC
282-2,in,O
282-2,Švedskem,B-LOC
282-2,.,O
282-2,“,O
282-2,Mislim,O
282-2,",",O
282-2,da,O
282-2,ne,O
282-2,bozmagal,O
282-2,",",O
282-2,a,O
282-2,že,O
282-2,sama,O
282-2,njegova,O
282-2,kandidatura,O
282-2,je,O
282-2,velika,O
282-2,sramota,O
282-2,za,O
282-2,Američane,B-PER
282-2,",",O
282-2,”,O
282-2,je,O
282-2,dejal,O
282-2,pevec,O
282-2,.,O
282-3,Trump,O
282-3,zna,O
282-3,volivcem,O
282-3,dati,O
282-3,del,O
282-3,tistega,O
282-3,",",O
282-3,kar,O
282-3,želijo,O
282-3,slišati,O
282-3,",",O
282-3,je,O
282-3,nadaljeval,O
282-3,.,O
282-3,“,O
282-3,V,O
282-3,ZDA,O
282-3,imamo,O
282-3,določene,O
282-3,težave,O
282-3,–,O
282-3,velikanske,O
282-3,razlike,O
282-3,pri,O
282-3,razdelitvi,O
282-3,bogastva,O
282-3,–,O
282-3,kar,O
282-3,predstavlja,O
282-3,plodna,O
282-3,tla,O
282-3,za,O
282-3,demagogijo,O
282-3,.,O
282-4,Ima,O
282-4,zelo,O
282-4,enostaven,O
282-4,odgovor,O
282-4,na,O
282-4,ta,O
282-4,zelo,O
282-4,",",O
282-4,zelo,O
282-4,kompleksna,O
282-4,vprašanja,O
282-4,",",O
282-4,”,O
282-4,je,O
282-4,bil,O
282-4,kritičen,O
282-4,Springsteen,O
282-4,.,O
282-5,Roker,O
282-5,je,O
282-5,intervju,O
282-5,posnel,O
282-5,pred,O
282-5,izidom,O
282-5,svoje,O
282-5,biografije,O
282-5,Born,B-MISC
282-5,to,I-MISC
282-5,Run,I-MISC
282-5,",",O
282-5,v,O
282-5,kateri,O
282-5,opisuje,O
282-5,svoje,O
282-5,otroštvo,O
282-5,v,O
282-5,New,B-LOC
282-5,Jersyju,I-LOC
282-5,in,O
282-5,dvig,O
282-5,v,O
282-5,slavo,O
282-5,.,O
282-6,Knjiga,O
282-6,bo,O
282-6,izšla,O
282-6,prihodnji,O
282-6,teden,O
282-6,.,O
289-0,Elektorji,O
289-0,danes,O
289-0,potrjujejo,O
289-0,izide,O
289-0,predsedniških,O
289-0,volitev,O
289-0,v,O
289-1,ZDA,B-LOC
289-1,-,O
289-1,STA,B-ORG
289-1,-,O
289-1,Primorski,B-ORG
289-1,dnevnik,I-ORG
289-2,Elektorji,O
289-2,danes,O
289-2,potrjujejo,O
289-2,izide,O
289-2,predsedniških,O
289-2,volitev,O
289-2,v,O
289-2,ZDA,O
289-2,New,B-LOC
289-2,York,I-LOC
289-2,",",O
289-2,19.,O
289-2,decembra,O
289-2,(,O
289-2,STA,O
289-2,),O
289-2,-,O
289-2,V,O
289-2,prestolnicah,O
289-2,ameriških,O
289-2,zveznih,O
289-2,držav,O
289-2,se,O
289-2,bodo,O
289-2,danes,O
289-2,sestali,O
289-2,elektorji,O
289-2,",",O
289-2,ki,O
289-2,bodo,O
289-2,oddali,O
289-2,svoj,O
289-2,glas,O
289-2,za,O
289-2,naslednjega,O
289-2,predsednika,O
289-2,in,O
289-2,podpredsednika,O
289-2,ZDA,O
289-2,.,O
289-3,V,O
289-3,teoriji,O
289-3,",",O
289-3,ki,O
289-3,je,O
289-3,skladna,O
289-3,z,O
289-3,ustavo,O
289-3,",",O
289-3,bi,O
289-3,lahko,O
289-3,volili,O
289-3,tudi,O
289-3,koga,O
289-3,drugega,O
289-3,kot,O
289-3,republikanca,O
289-3,Donalda,B-PER
289-3,Trumpa,B-PER
289-3,in,O
289-3,Mika,B-PER
289-3,Penca,I-PER
289-3,",",O
289-3,vendar,O
289-3,se,O
289-3,to,O
289-3,ne,O
289-3,bo,O
289-3,zgodilo,O
289-3,.,O
289-4,Očetje,O
289-4,naroda,O
289-4,so,O
289-4,se,O
289-4,ob,O
289-4,ustanavljanju,O
289-4,republike,O
289-4,znašli,O
289-4,pred,O
289-4,dilemo,O
289-4,",",O
289-4,kako,O
289-4,zagotoviti,O
289-4,",",O
289-4,da,O
289-4,ZDA,O
289-4,ostanejo,O
289-4,zveza,O
289-4,bolj,O
289-4,ali,O
289-4,manj,O
289-4,samostojnih,O
289-4,držav,O
289-4,",",O
289-4,ki,O
289-4,jo,O
289-4,bo,O
289-4,vodila,O
289-4,ugledna,O
289-4,",",O
289-4,preudarna,O
289-4,in,O
289-4,zaslužna,O
289-4,oseba,O
289-4,",",O
289-4,ter,O
289-4,preprečiti,O
289-4,",",O
289-4,da,O
289-4,se,O
289-4,republika,O
289-4,ne,O
289-4,izrodi,O
289-4,v,O
289-4,diktaturo,O
289-4,.,O
289-5,Veliko,O
289-5,komentatorjev,O
289-5,v,O
289-5,ZDA,O
289-5,danes,O
289-5,pravi,O
289-5,",",O
289-5,da,O
289-5,je,O
289-5,bil,O
289-5,elektorski,O
289-5,sistem,O
289-5,ustanovljen,O
289-5,ravno,O
289-5,zato,O
289-5,",",O
289-5,da,O
289-5,v,O
289-5,Belo,B-LOC
289-5,hišo,I-LOC
289-5,ne,O
289-5,bi,O
289-5,prišel,O
289-5,nekdo,O
289-5,",",O
289-5,kot,O
289-5,je,O
289-5,Donald,O
289-5,Trump,O
289-5,.,O
289-6,Sistem,O
289-6,je,O
289-6,bil,O
289-6,tako,O
289-6,zasnovan,O
289-6,z,O
289-6,varovalko,O
289-6,elektorjev,O
289-6,",",O
289-6,ki,O
289-6,bi,O
289-6,lahko,O
289-6,v,O
289-6,primeru,O
289-6,potrebe,O
289-6,v,O
289-6,Belo,O
289-6,hišo,O
289-6,poslali,O
289-6,nekoga,O
289-6,drugega,O
289-6,",",O
289-6,kot,O
289-6,tistega,O
289-6,",",O
289-6,ki,O
289-6,si,O
289-6,je,O
289-6,z,O
289-6,zmagami,O
289-6,po,O
289-6,zveznih,O
289-6,državah,O
289-6,nabral,O
289-6,največje,O
289-6,število,O
289-6,elektorjev,O
289-6,.,O
289-7,Teh,O
289-7,je,O
289-7,skupaj,O
289-7,538.,O
289-8,Za,O
289-8,osvojitev,O
289-8,predsedniškega,O
289-8,položaja,O
289-8,je,O
289-8,potrebnih,O
289-8,270,O
289-8,elektorjev,O
289-8,in,O
289-8,Trump,O
289-8,jih,O
289-8,je,O
289-8,osvojil,O
289-8,306,O
289-8,",",O
289-8,čeprav,O
289-8,je,O
289-8,njegova,O
289-8,demokratska,O
289-8,nasprotnica,O
289-8,Hillary,B-PER
289-8,Clinton,I-PER
289-8,dobila,O
289-8,kar,O
289-8,"2,8",O
289-8,milijona,O
289-8,glasov,O
289-8,volivcev,O
289-8,več,O
289-8,.,O
289-9,Po,O
289-9,Trumpovi,B-PER
289-9,zmagi,O
289-9,je,O
289-9,bilo,O
289-9,nekaj,O
289-9,pobud,O
289-9,",",O
289-9,da,O
289-9,se,O
289-9,mu,O
289-9,s,O
289-9,pomočjo,O
289-9,elektorjev,O
289-9,prepreči,O
289-9,pot,O
289-9,do,O
289-9,Bele,B-LOC
289-9,hiše,I-LOC
289-9,",",O
289-9,a,O
289-9,je,O
289-9,doslej,O
289-9,le,O
289-9,en,O
289-9,republikanski,O
289-9,elektor,O
289-9,javno,O
289-9,napovedal,O
289-9,",",O
289-9,da,O
289-9,ne,O
289-9,bo,O
289-9,glasoval,O
289-9,zanj,O
289-9,.,O
289-10,Zaradi,O
289-10,te,O
289-10,možnosti,O
289-10,so,O
289-10,sicer,O
289-10,elektorji,O
289-10,pod,O
289-10,velikim,O
289-10,pritiskom,O
289-10,.,O
289-11,Dobivajo,O
289-11,telefonske,O
289-11,klice,O
289-11,",",O
289-11,pisma,O
289-11,",",O
289-11,elektronsko,O
289-11,pošto,O
289-11,",",O
289-11,nekateri,O
289-11,tudi,O
289-11,grožnje,O
289-11,.,O
289-12,Večina,O
289-12,jih,O
289-12,pravi,O
289-12,",",O
289-12,da,O
289-12,jih,O
289-12,zavezujejo,O
289-12,strankarska,O
289-12,zvestoba,O
289-12,",",O
289-12,občutek,O
289-12,dolžnosti,O
289-12,do,O
289-12,volivcev,O
289-12,in,O
289-12,teža,O
289-12,zgodovine,O
289-12,",",O
289-12,da,O
289-12,glasujejo,O
289-12,v,O
289-12,skladu,O
289-12,z,O
289-12,voljo,O
289-12,volivcev,O
289-12,svoje,O
289-12,države,O
289-12,.,O
289-13,Republikanski,O
289-13,elektorji,O
289-13,sicer,O
289-13,ne,O
289-13,bi,O
289-13,oddali,O
289-13,svojega,O
289-13,glasu,O
289-13,za,O
289-13,demokratko,O
289-13,Clintonovo,B-PER
289-13,",",O
289-13,so,O
289-13,pa,O
289-13,nekateri,O
289-13,med,O
289-13,njimi,O
289-13,doslej,O
289-13,zaman,O
289-13,iskali,O
289-13,republikanskega,O
289-13,politika,O
289-13,",",O
289-13,ki,O
289-13,bi,O
289-13,bil,O
289-13,pripravljen,O
289-13,sprejeti,O
289-13,njihove,O
289-13,glasove,O
289-13,in,O
289-13,glasove,O
289-13,demokratskih,O
289-13,elektorjev,O
289-13,",",O
289-13,ki,O
289-13,bi,O
289-13,se,O
289-13,v,O
289-13,tem,O
289-13,primeru,O
289-13,odpovedali,O
289-13,Clintonovi,O
289-13,.,O
289-14,Želeli,O
289-14,so,O
289-14,guvernerja,O
289-14,Ohia,B-LOC
289-14,Johna,B-PER
289-14,Kasicha,I-PER
289-14,",",O
289-14,ki,O
289-14,pa,O
289-14,je,O
289-14,ponudbo,O
289-14,zavrnil,O
289-14,in,O
289-14,drugih,O
289-14,kandidatov,O
289-14,ni,O
289-14,.,O
289-15,Zato,O
289-15,gre,O
289-15,pričakovati,O
289-15,",",O
289-15,da,O
289-15,bo,O
289-15,Trump,O
289-15,20.,O
289-15,januarja,O
289-15,2017,O
289-15,prisegel,O
289-15,kot,O
289-15,45.,O
289-15,predsednik,O
289-15,ZDA,O
289-15,.,O
290-0,Vladimir,B-PER
290-0,Putin,B-PER
290-0,je,O
290-0,najvplivnejši,O
290-0,človek,O
290-0,na,O
290-0,svetu,O
290-0,-,O
290-0,Pomurec.com,B-ORG
290-1,Ruski,O
290-1,predsednik,O
290-1,Vladimir,O
290-1,Putin,O
290-1,je,O
290-1,že,O
290-1,četrto,O
290-1,leto,O
290-1,zapored,O
290-1,na,O
290-1,vrhu,O
290-1,lestvice,O
290-1,najvplivnejših,O
290-1,ljudi,O
290-1,na,O
290-1,svetu,O
290-1,ameriške,O
290-1,revije,O
290-1,Forbes,B-ORG
290-1,.,O
290-2,Sledi,O
290-2,mu,O
290-2,novoizvoljeni,O
290-2,ameriški,O
290-2,predsednik,O
290-2,Donald,B-PER
290-2,Trump,B-PER
290-2,",",O
290-2,nemška,O
290-2,kanclerka,O
290-2,Angela,B-PER
290-2,Merkel,I-PER
290-2,je,O
290-2,na,O
290-2,tretjem,O
290-2,mestu,O
290-2,.,O
290-3,Na,O
290-3,četrtem,O
290-3,mestu,O
290-3,je,O
290-3,kitajski,O
290-3,predsednik,O
290-3,Xi,B-PER
290-3,Jinping,I-PER
290-3,",",O
290-3,na,O
290-3,petem,O
290-3,pa,O
290-3,papež,O
290-3,Frančišek,B-PER
290-3,.,O
290-4,Pri,O
290-4,Forbesu,O
290-4,so,O
290-4,zapisali,O
290-4,",",O
290-4,da,O
290-4,je,O
290-4,Putin,O
290-4,razširil,O
290-4,vpliv,O
290-4,svoje,O
290-4,države,O
290-4,na,O
290-4,skoraj,O
290-4,vse,O
290-4,konce,O
290-4,sveta,O
290-4,.,O
290-4,"""",O
290-4,Od,O
290-4,domovine,O
290-4,do,O
290-4,Sirije,B-LOC
290-4,do,O
290-4,ameriških,O
290-4,predsedniških,O
290-4,volitev,O
290-4,Putin,O
290-4,še,O
290-4,naprej,O
290-4,dobiva,O
290-4,",",O
290-4,kar,O
290-4,si,O
290-4,želi,O
290-4,",",O
290-4,"""",O
290-4,so,O
290-4,še,O
290-4,zapisali,O
290-4,.,O
290-5,Ruskega,O
290-5,voditelja,O
290-5,ne,O
290-5,omejujejo,O
290-5,globalne,O
290-5,norme,O
290-5,",",O
290-5,njegov,O
290-5,vpliv,O
290-5,pa,O
290-5,se,O
290-5,je,O
290-5,v,O
290-5,preteklih,O
290-5,letih,O
290-5,še,O
290-5,povečal,O
290-5,.,O
290-6,FOTO,O
290-6,:,O
290-6,forbes.com,O
290-6,.,O
290-7,Drugo,O
290-7,uvrščenega,O
290-7,Donalda,O
290-7,Trumpa,O
290-7,so,O
290-7,izbrali,O
290-7,",",O
290-7,ker,O
290-7,je,O
290-7,"""",O
290-7,navidezno,O
290-7,imun,O
290-7,na,O
290-7,škandale,O
290-7,",",O
290-7,na,O
290-7,svoji,O
290-7,strani,O
290-7,ima,O
290-7,oba,O
290-7,domova,O
290-7,kongresa,O
290-7,in,O
290-7,njegovo,O
290-7,bogastvo,O
290-7,se,O
290-7,meri,O
290-7,v,O
290-7,milijardah,O
290-7,.,O
290-7,"""",O
290-7,Kot,O
290-7,zanimivost,O
290-7,velja,O
290-7,omeniti,O
290-7,",",O
290-7,da,O
290-7,je,O
290-7,Trump,O
290-7,lani,O
290-7,na,O
290-7,lestvici,O
290-7,zasedel,O
290-7,šele,O
290-7,72.,O
290-7,mesto,O
290-7,.,O
290-8,FOTO,O
290-8,:,O
290-8,forbes.com,O
290-8,.,O
290-9,Tretja,O
290-9,na,O
290-9,lestvici,O
290-9,nemška,O
290-9,kanclerka,O
290-9,Angela,O
290-9,Merkel,O
290-9,je,O
290-9,bila,O
290-9,lani,O
290-9,druga,O
290-9,.,O
290-10,Na,O
290-10,čelu,O
290-10,ene,O
290-10,od,O
290-10,evropskih,O
290-10,gospodarskih,O
290-10,velesil,O
290-10,je,O
290-10,že,O
290-10,11,O
290-10,let,O
290-10,",",O
290-10,letos,O
290-10,pa,O
290-10,se,O
290-10,je,O
290-10,odločila,O
290-10,",",O
290-10,da,O
290-10,bo,O
290-10,ponovno,O
290-10,kandidirala,O
290-10,za,O
290-10,kanclerko,O
290-10,.,O
290-11,Lansko,O
290-11,leto,O
290-11,je,O
290-11,to,O
290-11,mesto,O
290-11,pripadalo,O
290-11,ameriškemu,O
290-11,predsedniku,O
290-11,Baracku,B-PER
290-11,Obami,I-PER
290-11,",",O
290-11,ki,O
290-11,je,O
290-11,letos,O
290-11,zasedel,O
290-11,42.,O
290-11,mesto,O
290-11,.,O
290-12,Pri,O
290-12,Forbesu,O
290-12,so,O
290-12,še,O
290-12,dejali,O
290-12,",",O
290-12,da,O
290-12,izbirajo,O
290-12,najvplivnejše,O
290-12,ljudi,O
290-12,s,O
290-12,seznama,O
290-12,več,O
290-12,sto,O
290-12,kandidatov,O
290-12,različnih,O
290-12,profilov,O
290-12,z,O
290-12,vsega,O
290-12,sveta,O
290-12,.,O
290-13,FOTO,O
290-13,:,O
290-13,forbes.com,O
292-0,Klemen,B-PER
292-0,Slakonja,I-PER
292-0,kmalu,O
292-0,Donald,B-PER
292-0,Trump,B-PER
292-0,|,O
292-1,Lokalno.si,B-ORG
292-2,Klemen,O
292-2,Slakonja,O
292-2,je,O
292-2,v,O
292-2,začetku,O
292-2,junija,O
292-2,na,O
292-2,slovenski,O
292-2,platformi,O
292-2,Adrifund,B-MISC
292-2,začel,O
292-2,z,O
292-2,zbiranjem,O
292-2,denarja,O
292-2,za,O
292-2,svoj,O
292-2,novi,O
292-2,video,O
292-2,",",O
292-2,v,O
292-2,katerem,O
292-2,bo,O
292-2,glavno,O
292-2,vlogo,O
292-2,igral,O
292-2,Donald,O
292-2,Trump,O
292-2,.,O
292-3,Klemen,O
292-3,Slakonja,O
292-3,je,O
292-3,po,O
292-3,Putinu,B-PER
292-3,posnel,O
292-3,novo,O
292-3,parodijo,O
292-3,",",O
292-3,tokrat,O
292-3,na,O
292-3,Donalda,O
292-3,Trumpa,O
292-3,.,O
292-4,Ekipa,O
292-4,je,O
292-4,s,O
292-4,snemanjem,O
292-4,zaključila,O
292-4,",",O
292-4,Klemen,O
292-4,pa,O
292-4,je,O
292-4,na,O
292-4,svojem,O
292-4,Facebook,B-MISC
292-4,profilu,O
292-4,objavil,O
292-4,fotografijo,O
292-4,",",O
292-4,kjer,O
292-4,je,O
292-4,preobražen,O
292-4,v,O
292-4,ameriškega,O
292-4,kandidata,O
292-4,za,O
292-4,predsednika,O
292-4,.,O
292-5,Pravzaprav,O
292-5,bi,O
292-5,človek,O
292-5,lahko,O
292-5,rekel,O
292-5,",",O
292-5,da,O
292-5,gre,O
292-5,za,O
292-5,Trumpa,O
292-5,",",O
292-5,tako,O
292-5,zelo,O
292-5,sta,O
292-5,si,O
292-5,podobna,O
292-5,.,O
292-6,"""",O
292-6,Včeraj,O
292-6,smo,O
292-6,po,O
292-6,dveh,O
292-6,dnevih,O
292-6,snemanja,O
292-6,posneli,O
292-6,zadnji,O
