model_name,fine_tuned,train_bundle,epochs,test_dataset,precision_score,recall_score,f1_score
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-bg,0.9541015625,0.9594679046513704,0.9567772089917651
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-cs,0.8730671197960918,0.7905831666410217,0.829780361757106
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-pl,0.794451837444979,0.766897233201581,0.780431394238021
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-ru,0.8546415094339622,0.8594414086217365,0.8570347385150987
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-sl,0.8346123313045779,0.7202557661566568,0.7732287325324835
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-uk,0.7815768302493966,0.7946830265848671,0.7880754410870007
bert-base-multilingual-cased,True,bsnlp-2021-bg,5,bsnlp-2021-all,0.8642735128617364,0.8344247186651145,0.8490868706811451
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-bg,0.7025876744977868,0.7368984912061423,0.7193341757810798
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-cs,0.9518369867242976,0.9487613478996769,0.950296678739308
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-pl,0.8588999311227,0.8625494071146245,0.8607208006705122
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-ru,0.8071728691476591,0.8164845173041895,0.811801992152128
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-sl,0.8379360465116279,0.7899063713176524,0.8132126484071941
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-uk,0.7466918714555766,0.8077709611451943,0.7760314341846758
bert-base-multilingual-cased,True,bsnlp-2021-cs,5,bsnlp-2021-all,0.8119829770955864,0.8236806363989134,0.8177899780876015
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-bg,0.7327205232455365,0.7401124899562539,0.7363979569176105
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-cs,0.9028987802946301,0.87705800892445,0.8897908211052138
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-pl,0.9549737181394427,0.9514822134387352,0.953224768598723
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-ru,0.8533291944746236,0.8345476624165149,0.8438339344639705
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-sl,0.8604709418837675,0.7844256679607217,0.8206904790347628
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-uk,0.7847304210940574,0.8155419222903886,0.7998395507420777
bert-base-multilingual-cased,True,bsnlp-2021-pl,5,bsnlp-2021-all,0.8490881384259942,0.8378443927046954,0.8434287946483069
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-bg,0.7962886597938145,0.8619766092313186,0.8278316042184688
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-cs,0.8508826262000619,0.8455146945683951,0.8481901674770395
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-pl,0.762901376146789,0.7888339920948617,0.7756509910610183
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-ru,0.9023995289268365,0.9304796599878568,0.9162244974217174
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-sl,0.7925748502994012,0.7556519753368349,0.773673135375263
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-uk,0.7752679938744257,0.8282208588957055,0.8008700810757367
bert-base-multilingual-cased,True,bsnlp-2021-ru,5,bsnlp-2021-all,0.8116217420883478,0.839081296080714,0.8251231233379841
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-bg,0.6946928061684849,0.7560932059637533,0.724093707250342
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-cs,0.8199912828708412,0.8684412986613325,0.8435211478104917
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-pl,0.7883514860623961,0.8439723320158102,0.8152142788966307
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-ru,0.7854571634269258,0.8280206435944141,0.8061774920564546
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-sl,0.848031669232461,0.8805663393468829,0.8639928299350214
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-uk,0.72881982981872,0.8057259713701431,0.7653457653457654
bert-base-multilingual-cased,True,bsnlp-2021-sl,5,bsnlp-2021-all,0.7694487903317234,0.8230258051998448,0.7953360285931915
bert-base-multilingual-cased,True,bsnlp-2021-uk,5,bsnlp-2021-bg,0.6750951604132681,0.6650299080439247,0.6700247357769283
bert-base-multilingual-cased,True,bsnlp-2021-uk,5,bsnlp-2021-cs,0.7928642220019821,0.7385751654100631,0.7647574285031467
